Latitude,Longitude,Sample Date,pet,ppt,tmax,tmin,q
-33.31388889,19.07472222,18-01-2011,205.90001,7.5,32.1,16.52,0.4
-27.495556,26.074722,18-01-2011,194.2,162.8,28.59,16.6,8.1
-24.39619444,27.08983333,19-01-2011,169.2,99.4,30.91,19.99,5.0
-26.970278,27.211111,19-01-2011,173.90001,169.5,27.0,16.19,8.5
-26.880278,26.965,19-01-2011,175.5,165.5,27.33,16.4,8.3
-27.273889,28.49,19-01-2011,164.3,192.70000000000002,25.869999,14.65,18.0
-27.3,28.586944,19-01-2011,163.40001,194.60000000000002,25.779999,14.48,22.1
-27.044444,27.005,19-01-2011,178.7,172.0,27.4,16.51,8.6
-30.568333,29.422778,19-01-2011,137.7,251.4,24.46,13.549999,131.1
-30.570833,29.150556,19-01-2011,138.90001,262.90000000000003,24.21,13.44,141.9
-34.031944,22.053333,19-01-2011,157.5,20.200000000000003,26.75,16.49,1.0
-33.13083,18.86278,19-01-2011,207.1,6.4,32.66,17.44,0.30000000000000004
-33.7075,18.97444444,19-01-2011,200.3,9.4,31.32,17.05,0.5
-25.57877778,29.12747222,19-01-2011,161.6,122.9,28.33,16.43,6.1000000000000005
-26.006389,29.253889,20-01-2011,152.0,150.6,25.529999,14.349999,7.5
-27.02314,28.59389,20-01-2011,163.1,179.20000000000002,25.96,14.61,9.0
-30.679722,26.7125,20-01-2011,180.90001,135.3,29.42,14.74,6.800000000000001
-28.460833,21.248889,20-01-2011,244.7,74.9,35.149998,19.85,3.7
-30.77586667,29.03221667,20-01-2011,141.5,222.3,25.8,16.039999,96.7
-24.925278,29.324444,21-01-2011,162.40001,86.9,30.34,18.65,4.3
-28.460833,21.248889,21-01-2011,244.7,74.9,35.149998,19.85,3.7
-24.679167,30.8025,24-01-2011,143.3,172.8,25.289999,16.199999,8.6
-25.99136,27.84208,24-01-2011,161.1,160.3,26.599998,16.4,8.0
-25.49037,30.6986,24-01-2011,144.7,143.4,26.73,17.14,7.2
-26.970278,27.211111,24-01-2011,173.90001,169.5,27.0,16.19,8.5
-27.671111,27.236944,24-01-2011,182.90001,194.70000000000002,27.599998,15.96,16.1
-27.356667,27.286389,24-01-2011,182.40001,180.4,27.21,16.15,9.0
-27.01011111,26.69808333,25-01-2011,183.5,168.5,27.849998,16.75,8.4
-26.98472222,26.63227778,25-01-2011,181.40001,170.3,28.01,17.0,8.5
-27.398611,26.614722,25-01-2011,191.90001,173.20000000000002,28.359999,17.039999,8.700000000000001
-33.818056,19.694722,25-01-2011,201.8,9.9,31.189999,16.17,0.5
-25.45963889,28.26430556,25-01-2011,164.5,122.4,28.779999,17.5,6.1000000000000005
-33.897778,20.012778,25-01-2011,196.1,10.0,31.349998,16.5,0.5
-25.81048333,27.90955222,26-01-2011,164.1,149.4,27.599998,17.34,7.5
-34.065833,20.404167,26-01-2011,179.3,10.700000000000001,31.349998,17.73,0.5
-24.058889,31.237222,26-01-2011,154.6,97.7,31.23,21.029999,4.9
-26.648056,27.089444,26-01-2011,170.90001,156.60000000000002,26.83,15.94,7.800000000000001
-26.880278,26.965,26-01-2011,175.5,165.5,27.33,16.4,8.3
-27.273889,28.49,26-01-2011,164.3,192.70000000000002,25.869999,14.65,18.0
-27.044444,27.005,26-01-2011,178.7,172.0,27.4,16.51,8.6
-34.092222,21.295278,26-01-2011,173.1,15.100000000000001,29.48,16.24,0.8
-27.02314,28.59389,27-01-2011,163.1,179.20000000000002,25.96,14.61,9.0
-26.73806,27.59194,27-01-2011,168.1,166.60000000000002,26.349998,15.719999,8.3
-28.760833,17.730278,30-01-2011,257.5,8.3,35.76,21.029999,0.4
-26.861111,28.884722,31-01-2011,161.0,175.0,25.41,14.099999,8.8
-26.73806,27.59194,31-01-2011,168.1,166.60000000000002,26.349998,15.719999,8.3
-25.127778,27.628889,01-02-2011,169.3,47.7,31.55,18.05,2.4000000000000004
-24.69514,27.40906,01-02-2011,172.90001,56.0,31.929998,18.949999,2.8000000000000003
-27.363611,31.783333,01-02-2011,154.40001,35.800000000000004,31.56,19.59,1.8
-27.802778,28.768333,01-02-2011,159.1,71.7,26.539999,13.09,3.6
-29.160278,26.573333,01-02-2011,190.1,105.4,29.24,15.11,5.300000000000001
-34.329722,18.990278,01-02-2011,158.2,5.800000000000001,25.91,17.07,0.30000000000000004
-25.20639,27.558,02-02-2011,170.0,49.800000000000004,31.279999,17.81,2.5
-23.281,30.54305556,03-02-2011,154.40001,48.900000000000006,30.91,19.5,2.4000000000000004
-28.801278,31.955389,03-02-2011,150.2,82.0,30.23,20.82,4.1000000000000005
-27.00222,28.76528,03-02-2011,161.6,58.6,27.18,13.469999,2.9000000000000004
-27.02314,28.59389,03-02-2011,163.1,59.0,27.55,13.7699995,2.9000000000000004
-27.3,28.586944,03-02-2011,163.40001,62.300000000000004,27.359999,13.58,3.1
-30.679722,26.7125,03-02-2011,180.90001,98.7,29.48,14.809999,4.9
-28.460833,21.248889,03-02-2011,244.7,138.5,34.46,19.75,6.9
-28.460833,21.248889,04-02-2011,244.7,138.5,34.46,19.75,6.9
-29.140556,31.391944,07-02-2011,143.5,98.0,29.619999,20.58,4.9
-25.99136,27.84208,07-02-2011,161.1,50.7,28.17,15.36,2.5
-24.058889,31.237222,07-02-2011,154.6,28.700000000000003,32.13,19.689999,1.4000000000000001
-26.73806,27.59194,07-02-2011,168.1,60.400000000000006,27.769999,14.809999,3.0
-30.86013889,29.07125,07-02-2011,140.6,59.7,27.699999,16.609999,3.0
-27.356667,27.286389,07-02-2011,182.40001,71.9,28.5,15.41,3.6
-28.058889,30.373611,07-02-2011,158.0,70.3,27.689999,14.719999,3.5
-27.01011111,26.69808333,08-02-2011,183.5,84.7,28.93,16.039999,4.2
-27.169444,29.233889,08-02-2011,157.3,55.800000000000004,26.23,12.88,2.8000000000000003
-26.98472222,26.63227778,08-02-2011,181.40001,86.0,29.109999,16.31,4.3
-27.398611,26.614722,08-02-2011,191.90001,87.9,29.51,16.449999,4.4
-27.573056,24.746389,08-02-2011,208.40001,121.4,31.66,17.4,6.1000000000000005
-33.501667,21.624167,08-02-2011,189.1,10.700000000000001,29.529999,15.49,0.5
-32.502778,19.535833,08-02-2011,233.40001,3.2,34.18,18.02,0.2
-25.45963889,28.26430556,08-02-2011,164.5,37.7,30.4,16.52,1.9000000000000001
-26.970278,27.211111,09-02-2011,173.90001,70.9,28.439999,15.48,3.5
-27.273889,28.49,09-02-2011,164.3,63.2,27.59,13.83,3.2
-28.69485,28.23487,09-02-2011,160.7,97.2,26.369999,13.599999,4.9
-28.883333,27.89,09-02-2011,164.2,102.4,26.849998,14.179999,5.1000000000000005
-27.02314,28.59389,10-02-2011,163.1,59.0,27.55,13.7699995,2.9000000000000004
-30.679722,26.7125,10-02-2011,180.90001,98.7,29.48,14.809999,4.9
-30.534167,24.961944,10-02-2011,205.0,96.10000000000001,30.779999,16.0,4.800000000000001
-34.031944,22.053333,10-02-2011,157.5,11.9,26.949999,17.949999,0.6000000000000001
-34.039722,22.133333,10-02-2011,156.0,12.4,26.74,18.24,0.6000000000000001
-32.595833,19.009444,10-02-2011,218.5,1.6,34.1,18.279999,0.1
-28.801278,31.955389,11-02-2011,150.2,82.0,30.23,20.82,4.1000000000000005
-29.658056,25.973333,11-02-2011,186.90001,97.2,29.119999,14.96,4.9
-28.068333,31.55,11-02-2011,159.1,67.7,31.269999,20.21,3.4000000000000004
-28.760833,17.730278,13-02-2011,257.5,32.7,36.1,22.689999,1.6
-29.7775,29.470833,14-02-2011,138.3,123.60000000000001,25.06,12.809999,9.8
-29.987778,29.851667,14-02-2011,136.0,85.10000000000001,26.8,14.99,4.3
-29.744167,29.905833,14-02-2011,141.6,91.5,27.48,15.48,4.6000000000000005
-26.861111,28.884722,14-02-2011,161.0,55.1,26.96,13.259999,2.8000000000000003
-26.45,28.085833,14-02-2011,162.5,54.300000000000004,27.539999,14.429999,2.7
-31.396,29.2651,14-02-2011,134.5,44.900000000000006,28.119999,19.66,2.2
-25.20639,27.558,15-02-2011,170.0,49.800000000000004,31.279999,17.81,2.5
-24.69514,27.40906,15-02-2011,172.90001,56.0,31.929998,18.949999,2.8000000000000003
-26.006389,29.253889,15-02-2011,152.0,40.5,27.16,13.46,2.0
-27.802778,28.768333,15-02-2011,159.1,71.7,26.539999,13.09,3.6
-27.398611,26.614722,15-02-2011,191.90001,87.9,29.51,16.449999,4.4
-27.671111,27.236944,15-02-2011,182.90001,77.80000000000001,28.66,15.33,3.9000000000000004
-29.160278,26.573333,15-02-2011,190.1,105.4,29.24,15.11,5.300000000000001
-30.568333,29.422778,15-02-2011,137.7,61.7,26.06,13.53,3.1
-30.570833,29.150556,15-02-2011,138.90001,67.8,25.599998,13.21,3.4000000000000004
-33.38056,19.30167,15-02-2011,194.3,3.9000000000000004,30.179998,16.08,0.2
-33.31388889,19.07472222,15-02-2011,205.90001,3.1,32.559998,18.65,0.2
-27.495556,26.074722,15-02-2011,194.2,100.60000000000001,29.539999,16.42,5.0
-25.436111,31.982222,16-02-2011,148.90001,37.6,31.92,19.46,1.9000000000000001
-24.39619444,27.08983333,16-02-2011,169.2,58.2,32.35,19.06,2.9000000000000004
-25.67386,31.57527,16-02-2011,154.8,39.1,31.26,19.41,2.0
-30.733889,29.828333,16-02-2011,132.40001,55.1,27.359999,17.56,2.8000000000000003
-30.398056,30.601944,16-02-2011,134.7,59.900000000000006,28.539999,21.23,3.0
-27.273889,28.49,16-02-2011,164.3,63.2,27.59,13.83,3.2
-27.3,28.586944,16-02-2011,163.40001,62.300000000000004,27.359999,13.58,3.1
-27.044444,27.005,16-02-2011,178.7,76.4,28.71,15.7,3.8000000000000003
-30.86013889,29.07125,16-02-2011,140.6,59.7,27.699999,16.609999,3.0
-30.77586667,29.03221667,16-02-2011,141.5,63.300000000000004,27.529999,16.17,3.2
-33.13083,18.86278,16-02-2011,207.1,2.2,33.05,19.24,0.1
-24.925278,29.324444,17-02-2011,162.40001,30.900000000000002,31.679998,17.55,1.5
-27.00222,28.76528,17-02-2011,161.6,58.6,27.18,13.469999,2.9000000000000004
-27.02314,28.59389,17-02-2011,163.1,59.0,27.55,13.7699995,2.9000000000000004
-22.43772222,31.07805556,18-02-2011,172.0,29.900000000000002,33.46,20.83,1.5
-29.803611,30.516111,18-02-2011,134.2,96.10000000000001,27.88,17.91,4.800000000000001
-25.99136,27.84208,21-02-2011,161.1,50.7,28.17,15.36,2.5
-26.861111,28.884722,21-02-2011,161.0,55.1,26.96,13.259999,2.8000000000000003
-26.73806,27.59194,21-02-2011,168.1,60.400000000000006,27.769999,14.809999,3.0
-26.45,28.085833,21-02-2011,162.5,54.300000000000004,27.539999,14.429999,2.7
-27.01011111,26.69808333,22-02-2011,183.5,84.7,28.93,16.039999,4.2
-27.169444,29.233889,22-02-2011,157.3,55.800000000000004,26.23,12.88,2.8000000000000003
-26.98472222,26.63227778,22-02-2011,181.40001,86.0,29.109999,16.31,4.3
-27.398611,26.614722,22-02-2011,191.90001,87.9,29.51,16.449999,4.4
-29.160278,26.573333,22-02-2011,190.1,105.4,29.24,15.11,5.300000000000001
-33.818056,19.694722,22-02-2011,201.8,4.9,31.41,17.97,0.2
-25.81048333,27.90955222,23-02-2011,164.1,45.400000000000006,29.369999,16.39,2.3000000000000003
-29.641944,30.6875,23-02-2011,139.7,108.30000000000001,28.97,19.369999,5.4
-34.065833,20.404167,23-02-2011,179.3,6.6000000000000005,31.42,19.4,0.30000000000000004
-33.980556,21.653333,23-02-2011,164.5,10.3,28.529999,17.56,0.5
-22.769722,30.886944,23-02-2011,159.8,40.0,31.49,19.68,2.0
-27.00222,28.76528,23-02-2011,161.6,58.6,27.18,13.469999,2.9000000000000004
-27.02314,28.59389,23-02-2011,163.1,59.0,27.55,13.7699995,2.9000000000000004
-27.38972222,26.46388889,23-02-2011,193.3,90.9,29.67,16.609999,4.5
-27.398611,26.614722,23-02-2011,191.90001,87.9,29.51,16.449999,4.4
-27.671111,27.236944,23-02-2011,182.90001,77.80000000000001,28.66,15.33,3.9000000000000004
-27.356667,27.286389,23-02-2011,182.40001,71.9,28.5,15.41,3.6
-33.897778,20.012778,23-02-2011,196.1,5.7,31.609999,18.24,0.30000000000000004
-23.763056,27.908611,24-02-2011,156.3,38.2,31.48,17.97,1.9000000000000001
-23.23572222,27.717,24-02-2011,162.0,32.0,32.739998,19.189999,1.6
-28.44555556,32.325,24-02-2011,144.8,91.30000000000001,29.96,21.199999,4.6000000000000005
-30.679722,26.7125,24-02-2011,180.90001,98.7,29.48,14.809999,4.9
-30.160091,27.40124,24-02-2011,171.3,104.7,28.33,14.65,5.2
-30.336111,27.359444,24-02-2011,171.90001,105.4,28.43,14.309999,5.300000000000001
-28.460833,21.248889,24-02-2011,244.7,138.5,34.46,19.75,6.9
-22.91028,29.61111,25-02-2011,151.90001,27.700000000000003,30.46,18.16,1.4000000000000001
-28.760833,17.730278,27-02-2011,257.5,32.7,36.1,22.689999,1.6
-24.183889,30.823889,01-03-2011,152.3,29.900000000000002,31.97,20.81,1.5
-27.398611,26.614722,01-03-2011,191.90001,86.30000000000001,29.769999,15.71,4.3
-27.671111,27.236944,01-03-2011,182.90001,84.2,28.869999,14.639999,4.2
-29.160278,26.573333,01-03-2011,190.1,83.30000000000001,28.769999,13.58,4.2
-27.495556,26.074722,01-03-2011,194.2,92.10000000000001,29.72,15.089999,4.6000000000000005
-23.658056,31.05,02-03-2011,156.40001,27.400000000000002,32.309998,21.26,1.4000000000000001
-26.648056,27.089444,02-03-2011,170.90001,71.3,28.41,14.69,3.6
-27.802778,28.768333,02-03-2011,159.1,69.9,26.5,12.55,3.5
-24.679167,30.8025,03-03-2011,143.3,55.300000000000004,25.869999,15.53,2.8000000000000003
-27.273889,28.49,03-03-2011,164.3,74.60000000000001,27.59,13.28,3.7
-27.3,28.586944,03-03-2011,163.40001,72.0,27.439999,13.139999,3.6
-30.679722,26.7125,03-03-2011,180.90001,88.60000000000001,28.63,13.25,4.4
-27.02314,28.59389,04-03-2011,163.1,63.0,27.68,13.49,3.1
-25.99136,27.84208,07-03-2011,161.1,60.300000000000004,28.25,15.009999,3.0
-31.554722,29.245556,07-03-2011,123.700005,106.10000000000001,27.39,18.22,5.300000000000001
-27.01011111,26.69808333,08-03-2011,183.5,85.0,29.039999,15.44,4.3
-27.802778,28.768333,08-03-2011,159.1,69.9,26.5,12.55,3.5
-26.98472222,26.63227778,08-03-2011,181.40001,86.30000000000001,29.22,15.7,4.3
-27.398611,26.614722,08-03-2011,191.90001,86.30000000000001,29.769999,15.71,4.3
-27.671111,27.236944,08-03-2011,182.90001,84.2,28.869999,14.639999,4.2
-29.160278,26.573333,08-03-2011,190.1,83.30000000000001,28.769999,13.58,4.2
-31.396,29.2651,08-03-2011,134.5,112.7,28.26,19.02,5.6000000000000005
-25.45963889,28.26430556,08-03-2011,164.5,39.300000000000004,30.58,16.98,2.0
-25.81048333,27.90955222,09-03-2011,164.1,52.5,29.5,16.279999,2.6
-22.225556,29.990556,09-03-2011,164.1,16.400000000000002,33.77,21.57,0.8
-26.03611,30.99778,09-03-2011,155.6,59.800000000000004,29.289999,18.64,3.0
-28.404444,30.013056,09-03-2011,160.6,75.4,28.8,15.639999,3.8000000000000003
-29.380556,30.2775,09-03-2011,134.90001,101.4,26.88,14.78,5.1000000000000005
-26.648056,27.089444,09-03-2011,170.90001,71.3,28.41,14.69,3.6
-26.970278,27.211111,09-03-2011,173.90001,72.0,28.599998,14.91,3.6
-27.273889,28.49,09-03-2011,164.3,74.60000000000001,27.59,13.28,3.7
-27.3,28.586944,09-03-2011,163.40001,72.0,27.439999,13.139999,3.6
-27.044444,27.005,09-03-2011,178.7,77.60000000000001,28.769999,15.04,3.9000000000000004
-28.69485,28.23487,09-03-2011,160.7,99.7,26.32,12.49,5.0
-28.883333,27.89,09-03-2011,164.2,96.4,26.48,12.759999,4.800000000000001
-30.568333,29.422778,09-03-2011,137.7,103.9,26.369999,13.04,5.2
-30.570833,29.150556,09-03-2011,138.90001,99.30000000000001,25.849998,12.62,5.0
-34.329722,18.990278,09-03-2011,158.2,12.9,25.029999,15.219999,0.6000000000000001
-30.830556,26.921389,10-03-2011,175.90001,85.9,28.019999,12.95,4.3
-25.49037,30.6986,10-03-2011,144.7,45.5,28.16,16.869999,2.3000000000000003
-29.380556,30.2775,10-03-2011,134.90001,101.4,26.88,14.78,5.1000000000000005
-30.86013889,29.07125,10-03-2011,140.6,107.10000000000001,27.91,15.799999,5.4
-30.77586667,29.03221667,10-03-2011,141.5,108.60000000000001,27.73,15.32,5.4
-29.658056,25.973333,11-03-2011,186.90001,83.9,28.609999,13.32,4.2
-30.534167,24.961944,11-03-2011,205.0,79.10000000000001,29.439999,14.19,4.0
-31.031389,28.883333,11-03-2011,138.90001,103.9,27.55,15.349999,5.2
-34.039722,22.133333,11-03-2011,156.0,20.900000000000002,26.789999,16.289999,1.0
-28.760833,17.730278,13-03-2011,257.5,21.400000000000002,36.21,22.35,1.1
-29.7775,29.470833,14-03-2011,138.3,138.70000000000002,25.4,12.21,27.700000000000003
-29.987778,29.851667,14-03-2011,136.0,117.80000000000001,27.18,14.549999,5.9
-29.744167,29.905833,14-03-2011,141.6,112.10000000000001,27.71,14.94,5.6000000000000005
-26.861111,28.884722,14-03-2011,161.0,51.1,27.16,13.219999,2.6
-26.73806,27.59194,14-03-2011,168.1,63.7,27.9,14.19,3.2
-26.45,28.085833,14-03-2011,162.5,62.7,27.519999,14.09,3.1
-25.127778,27.628889,15-03-2011,169.3,33.7,31.789999,18.22,1.7000000000000002
-25.20639,27.558,15-03-2011,170.0,35.1,31.57,17.97,1.8
-24.69514,27.40906,15-03-2011,172.90001,34.2,32.05,19.15,1.7000000000000002
-25.73411,27.21422,15-03-2011,164.0,67.10000000000001,29.16,15.46,3.4000000000000004
-26.006389,29.253889,15-03-2011,152.0,40.2,27.55,13.71,2.0
-28.747778,31.745833,15-03-2011,152.90001,106.80000000000001,30.609999,20.84,5.300000000000001
-30.733889,29.828333,15-03-2011,132.40001,114.30000000000001,27.96,17.07,5.7
-27.398611,26.614722,15-03-2011,191.90001,86.30000000000001,29.769999,15.71,4.3
-27.495556,26.074722,15-03-2011,194.2,92.10000000000001,29.72,15.089999,4.6000000000000005
-24.282222,28.090278,16-03-2011,155.40001,37.9,30.01,16.65,1.9000000000000001
-30.398056,30.601944,16-03-2011,134.7,121.60000000000001,29.01,20.96,6.1000000000000005
-30.27402,30.69602,16-03-2011,134.40001,119.4,28.88,20.67,6.0
-26.880278,26.965,16-03-2011,175.5,76.10000000000001,28.779999,15.15,3.8000000000000003
-27.273889,28.49,16-03-2011,164.3,74.60000000000001,27.59,13.28,3.7
-34.031944,22.053333,16-03-2011,157.5,20.200000000000003,26.97,16.0,1.0
-23.763056,27.908611,17-03-2011,156.3,32.7,31.74,18.13,1.6
-27.00222,28.76528,17-03-2011,161.6,57.900000000000006,27.359999,13.29,2.9000000000000004
-27.02314,28.59389,17-03-2011,163.1,63.0,27.68,13.49,3.1
-24.925278,29.324444,18-03-2011,162.40001,28.900000000000002,31.5,18.039999,1.4000000000000001
-29.803611,30.516111,18-03-2011,134.2,105.80000000000001,28.539999,17.65,5.300000000000001
-26.970278,27.211111,21-03-2011,173.90001,72.0,28.599998,14.91,3.6
-27.01011111,26.69808333,22-03-2011,183.5,85.0,29.039999,15.44,4.3
-25.99136,27.84208,22-03-2011,161.1,60.300000000000004,28.25,15.009999,3.0
-26.861111,28.884722,22-03-2011,161.0,51.1,27.16,13.219999,2.6
-26.45,28.085833,22-03-2011,162.5,62.7,27.519999,14.09,3.1
-27.398611,26.614722,22-03-2011,191.90001,86.30000000000001,29.769999,15.71,4.3
-33.501667,21.624167,22-03-2011,189.1,18.900000000000002,29.039999,13.95,0.9
-33.31388889,19.07472222,22-03-2011,205.90001,11.4,31.449999,16.55,0.6000000000000001
-28.338333,31.373611,22-03-2011,148.5,87.2,29.25,18.539999,4.4
-29.641944,30.6875,23-03-2011,139.7,101.30000000000001,29.449999,19.09,5.1000000000000005
-28.735556,29.820556,23-03-2011,157.90001,82.7,29.73,15.969999,4.1000000000000005
-26.648056,27.089444,23-03-2011,170.90001,71.3,28.41,14.69,3.6
-27.044444,27.005,23-03-2011,178.7,77.60000000000001,28.769999,15.04,3.9000000000000004
-29.160278,26.573333,23-03-2011,190.1,83.30000000000001,28.769999,13.58,4.2
-33.13083,18.86278,23-03-2011,207.1,10.100000000000001,31.779999,17.38,0.5
-25.45963889,28.26430556,23-03-2011,164.5,39.300000000000004,30.58,16.98,2.0
-25.81048333,27.90955222,24-03-2011,164.1,52.5,29.5,16.279999,2.6
-27.602222,29.942778,24-03-2011,165.8,55.1,28.34,15.03,2.8000000000000003
-27.3,28.586944,24-03-2011,163.40001,72.0,27.439999,13.139999,3.6
-33.38056,19.30167,24-03-2011,194.3,11.8,29.039999,13.7699995,0.6000000000000001
-27.00222,28.76528,25-03-2011,161.6,57.900000000000006,27.359999,13.29,2.9000000000000004
-27.02314,28.59389,25-03-2011,163.1,63.0,27.68,13.49,3.1
-30.160091,27.40124,25-03-2011,171.3,97.80000000000001,27.59,13.469999,4.9
-30.336111,27.359444,25-03-2011,171.90001,94.0,27.65,13.21,4.7
-28.760833,17.730278,27-03-2011,257.5,21.400000000000002,36.21,22.35,1.1
-22.43772222,31.07805556,28-03-2011,172.0,17.7,34.14,21.47,0.9
-26.73806,27.59194,28-03-2011,168.1,63.7,27.9,14.19,3.2
-25.127778,27.628889,29-03-2011,169.3,33.7,31.789999,18.22,1.7000000000000002
-25.20639,27.558,29-03-2011,170.0,35.1,31.57,17.97,1.8
-24.69514,27.40906,29-03-2011,172.90001,34.2,32.05,19.15,1.7000000000000002
-27.169444,29.233889,29-03-2011,157.3,48.800000000000004,26.4,12.84,2.4000000000000004
-26.98472222,26.63227778,29-03-2011,181.40001,86.30000000000001,29.22,15.7,4.3
-28.141944,26.417778,29-03-2011,192.90001,85.10000000000001,29.279999,14.639999,4.3
-28.116667,26.725278,29-03-2011,188.7,82.60000000000001,29.15,15.08,4.1000000000000005
-27.398611,26.614722,29-03-2011,191.90001,86.30000000000001,29.769999,15.71,4.3
-29.160278,26.573333,29-03-2011,190.1,83.30000000000001,28.769999,13.58,4.2
-27.495556,26.074722,29-03-2011,194.2,92.10000000000001,29.72,15.089999,4.6000000000000005
-34.065833,20.404167,30-03-2011,179.3,13.100000000000001,30.279999,17.369999,0.7000000000000001
-27.363611,31.783333,30-03-2011,154.40001,42.800000000000004,31.63,20.46,2.1
-26.905,32.324722,30-03-2011,159.5,42.400000000000006,32.67,21.55,2.1
